CurrencySymbol,CurrencyName,Explorer,Decimals,PARTNER,Other
CUMMIES,CumRocket,https://bscscan.com/token/0x27Ae27110350B98d564b9A3eeD31bAeBc82d878d,18,,
CURIO,ExtraCurio,https://etherscan.io/token/0x4b46636aFCb2BC4DD20C3D0424c4E1e6D296Fabe,4,,
CVD,Covid19,https://etherscan.io/token/0x6b466b0232640382950c45440ea5b630744eca99,0,,
CVN,CryptoVision,https://hive-engine.com/trade/CVN,0,<@858390190342406204>,
DAI,Dai,https://etherscan.io/token/0x6b175474e89094c44da98b954eedeac495271d0f,18,,
DANK,Dank Token,https://etherscan.io/token/0x0cb8d0b37c7487b11d57f1f33defa2b1d3cfccfe,18,,
DARA,Immutable,https://bscscan.com/token/0x0255af6c9f86f6b0543357bacefa262a2664f80f,18,,
DASH,Dash,https://coinmarketcap.com/currencies/dash/,8,,
DATA,Data Economy Index,https://etherscan.io/token/0x33d63ba1e57e54779f7ddaeaa7109349344cf5f1,18,,
DBL,Doubloon Token,https://arbiscan.io/token/0xd3f1da62cafb7e7bc6531ff1cef6f414291f03d3,18,,
DEEZNUTS,Deez Nuts,https://bscscan.com/token/0x741f72bc9e29f662f2eb41c5ab450a2ca33be57d,18,,
DEPO,Depo,https://etherscan.io/token/0xa5def515cfd373d17830e7c1de1639cb3530a112,18,,
DESK,DESK,https://polygonscan.com/token/0xecfb24be40f88d66bb7a14a4bc7f22bdf6841a93,18,,
DGB,DigiByte,https://coinmarketcap.com/currencies/digibyte/,8,,
DHT,dHEDGE DAO,https://polygonscan.com/token/0x8c92e38eca8210f4fcbf17f0951b198dd7668292,18,,
DIAH,DiarrheaCoin,https://bscscan.com/token/0xB3b9d0c1DC36dFF245933E4Fa0F0449f539cd32a,9,,
DIAHv1,DiarrheaCoin,https://bscscan.com/token/0x77b9e9d4096afe8d4127b244d953817403be37cd,18,,
DIVI,Divi,https://coinmarketcap.com/currencies/divi/,8,,
DNT,district0x,https://etherscan.io/token/0x0abdace70d3790235af448c88547603b945604ea,18,,
DODO,DODO,https://etherscan.io/token/0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,18,,
DOG,The Doge NFT,https://etherscan.io/token/0xbaac2b4491727d78d2b78815144570b9f2fe8899,18,,
DOGE,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,8,,
DOOM,Doom,https://etherscan.io/token/0xa4f9cec920ca520a7feb2c3a63050e08967bc111,4,,
DPX,Dopex,https://etherscan.io/token/0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81,18,,
DRC,Dracula Token,https://etherscan.io/token/0xb78b3320493a4efaa1028130c5ba26f0b6085ef8,18,,
DSD,Dynamic Set Dollar,https://etherscan.io/token/0xbd2f0cd039e0bfcf88901c98c0bfac5ab27566e3,18,,
DSGN,Design,https://etherscan.io/token/0x537A9095b78517597b5f2058EDcd6E1978095909,4,,
DTR,Dynamic Trading Rights,https://etherscan.io/token/0xd234bf2410a0009df9c3c63b610c09738f18ccd7,8,,
DTUBE,DTube Coin,https://etherscan.io/token/0xd2be3722b17b616c51ed9b8944a227d1ce579c24,2,,
DUDE,Dude,https://etherscan.io/token/0xe98b5f11897d42afd17185dd301bcb2d46389bf1,4,,
DUMA,Duma,https://etherscan.io/token/0x9f4affb8652d3aac1f36431191a8bf0b48dab332,4,,
DVASH,Digiverse Ash,https://bscscan.com/token/0x47d8b4a11f2f95f77f679a3049551fe6fa8e189f,5,,
DVT,DeVault,https://coinmarketcap.com/currencies/devault/,3,,
DXLM,Doge Lumens,https://lobstr.co/trade/native/DXLM:GAE6DWVMZDAOBU4IIPGDM2EJ65PWZQ5X7MI7PUURWKTEVZSEJHRYI247,7,<@895777912857440338>,
DYDX,dYdX,https://etherscan.io/token/0x92D6C1e31e14520e676a687F0a93788B716BEff5,18,,
EGG,NestEgg Coin,https://coinmarketcap.com/currencies/nestegg-coin/,8,,
EGT,ElasticDAO,https://etherscan.io/token/0x2aa5ce395b00cc486159adbdd97c55b535cf2cf9,18,,
EHB,EarnHub,https://bscscan.com/token/0x80CbA4031F7a75B650f4146E5CebA9d7562DF939,9,,
ENH,Enhance V3,https://bscscan.com/token/0xCb6a0c342e0968b3D4AC0C90b8da4edBA74f0385,18,,
EOS,EOS,https://coinmarketcap.com/currencies/eos/,4,,
ESD,Empty Set Dollar,https://etherscan.io/token/0x36f3fd68e7325a35eb768f1aedaae9ea0689d723,18,,
ETC,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,18,,
ETH,Ethereum,https://coinmarketcap.com/currencies/ethereum/,18,,
ETHOP,Optimistic Ethereum,https://help.optimism.io/hc/en-us/articles/10800854161563-Centralized-exchanges-that-support-Optimism,18,,
ETN,Electroneum,https://coinmarketcap.com/currencies/electroneum/,2,,
EUROC,Euro Coin,https://etherscan.io/token/0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c,6,,
EUT,TerraEUR,https://app-classic.terraswap.io/pairs/terra1lvxedwtrx387034kmf3j5zsaw92z3hwmrn2nq5,6,,
EVRT,Everest Token,https://snowtrace.io/token/0x3aca5545e76746a3fe13ea66b24bc0ebcc51e6b4,18,,
EXPEX,Xchange Token,https://polygonscan.com/token/0xe8E0a026BE04b27eEeeE130678BeF299A6f116eD,18,,
EXRD,e-Radix,https://etherscan.io/token/0x6468e79a80c0eab0f9a2b574c8d5bc374af59414,18,,
FAMILY,Bitcoin Family,https://etherscan.io/token/0x833E4c02c47B7e38f5b9A80b26eb07D23d1961f4,4,,
FARM,Harvest Finance,https://etherscan.io/token/0xa0246c9032bC3A600820415aE600c6388619A14D,18,,
FIELD,Field,https://bscscan.com/token/0x04d50c032f16a25d1449ef04d893e95bcc54d747,18,,
FINA,Defina Finance,https://bscscan.com/token/0x426c72701833fddbdfc06c944737c6031645c708,18,,
FIRST,Harrison First,https://etherscan.io/token/0x9903A4Cd589DA8e434f264deAFc406836418578E,4,,
FISH,Penguin Party Fish,https://etherscan.io/token/0x30bcd71b8d21fe830e493b30e90befba29de9114,18,,
FISHTANK,FISH Tank,https://etherscan.io/token/0x2604e9f68259e609e8744fb67cc410d50fc9aa0f,18,,
FJB,Lets Go Brandon!,https://bscscan.com/token/0xa179248e50ce5afb507fd8c54e08a66fbac7b6ff,9,,
FLAME,FireStarter,https://polygonscan.com/token/0x22e3f02f86bc8ea0d73718a2ae8851854e62adc5,18,,
FLR,Spark,https://flare.network/,18,,
FLUX,Flux,https://coinmarketcap.com/currencies/zel/,8,,
